Frame	Talin	Kindlin	Both		Frame	Time	Talin	Kindlin	Both	Time	Talin	Kindlin	Both
198	0.533344632	0.693189886	0.307467159		198	39.6	30.55839643	39.71685488	17.61657052	39.6	32.01194329	42.30435169	20.2230164
199	0.585373723	0.72830882	0.378990225		199	39.8	33.53944379	41.72902159	21.71454034	39.8	32.47019344	42.13175266	20.67047358
200	0.635070892	0.74100964	0.382515839		200	40	36.38688181	42.45672493	21.91654317	40	33.64519995	42.22924434	21.04429446
201	0.567727805	0.744158256	0.381229952		201	40.2	32.52840715	42.63712737	21.84286725	40.2	33.31016211	42.35160925	21.2838663
202	0.638255226	0.762056786	0.369040127		202	40.4	36.56933068	43.66263758	21.14444178	40.4	34.28791268	42.74491775	21.24203894
203	0.662002548	0.712874248	0.287822456		203	40.6	37.92995201	40.84468575	16.49101196	40.6	35.38052448	42.17484815	19.81673085
204	0.593792333	0.743363874	0.344615154		204	40.8	34.02179461	42.59161264	19.74499387	40.8	34.97290552	42.2998775	19.79520975
205	0.619392402	0.750771177	0.39095736		205	41	35.48857049	43.0160198	22.40020672	41	35.12760501	42.51472019	20.57670884
206	0.598626023	0.770677598	0.441006617		206	41.2	34.29874464	44.15657371	25.26781791	41.2	34.8789469	43.00727624	21.98404156
207	0.54615611	0.804063681	0.397219807		207	41.4	31.29244004	46.06945539	22.75901848	41.4	33.80299484	43.92592999	22.21653464
208	0.613700395	0.783282225	0.447227519		208	41.6	35.16244253	44.87876565	25.62424932	41.6	34.21082915	44.21178069	23.23884904
209	0.569192902	0.806881636	0.51699773		209	41.8	32.61235099	46.23091229	29.62178796	41.8	33.7312857	44.81752017	25.15373072
